file name,file type,equipment,hab_acc,period,ID_left,ID_right,day,month,year,experimenter,comments,
phees_2022-08-03_14-32-28_0000070.wav,acoustic ,USGH1,acc,after,Tabor,Olympia ,3,8,2022,14:30,KW/KM,
trills_2022-08-03_14-32-30_0000070.wav,acoustic ,USGH2,acc,after,Tabor,Olympia ,3,8,2022,14:30,KW/KM,
phees_2022-08-03_14-57-10_0000071.wav,acoustic ,USGH1,acc,after,Odin,Olympia ,3,8,2022,14:55,KW/KM,
trills_2022-08-03_14-57-11_0000071.wav,acoustic ,USGH2,acc,after,Odin,Olympia ,3,8,2022,14:55,KW/KM,
phees_2022-08-03_15-37-29_0000072.wav,acoustic ,USGH1,acc,after,Wuschel,Nougatti,3,8,2022,15:35,KW/KM,
trills_2022-08-03_15-37-31_0000072.wav,acoustic ,USGH2,acc,after,Wuschel,Nougatti,3,8,2022,15:35,KW/KM,
phees_2022-08-04_09-19-19_0000073.wav,acoustic ,USGH1,acc,after,Tabor,Nougatti,4,8,2022,09:20,KW/KM,
trills_2022-08-04_09-19-20_0000073.wav,acoustic ,USGH2,acc,after,Tabor,Nougatti,4,8,2022,09:20,KW/KM,
phees_2022-08-04_09-45-00_0000074.wav,acoustic ,USGH1,acc,after,Odin,Nougatti,4,8,2022,09:45,KW/KM,
trills_2022-08-04_09-45-02_0000074.wav,acoustic ,USGH2,acc,after,Odin,Nougatti,4,8,2022,09:45,KW/KM,
phees_2022-08-04_10-08-00_0000075.wav,acoustic ,USGH1,acc,after,Odin,Lola,4,8,2022,10:10,KW/KM,
